"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4879149";"";"";"Unknown";"";"";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";""
"CHEMBL4795143";"";"";"Unknown";"";"411.25";"2";"2";"1.35";"109.14";"4";"4";"0";"4";"N";"0.32";"-2.40";"10.91";"1.78";"0.52";"0";"MOL";"-1";"25";"7";"4";"0";"411.0411";"-0.36";"ZWITTERION";"C8H10F9N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F";"KWHWUSMZKDIKSU-UHFFFAOYSA-N"
"CHEMBL4778929";"";"";"Unknown";"";"265.27";"2";"2";"0.24";"136.02";"5";"6";"1";"1";"N";"0.25";"10.64";"8.51";"0.45";"-0.91";"1";"MOL";"-1";"19";"8";"6";"1";"265.1175";"0.30";"BASE";"C11H15N5O3";"CN(C)C(=N)NC(=N)/N=C/c1cc(O)c(O)c(O)c1";"GSSWDBATAXBIBZ-LHHJGKSTSA-N"
"CHEMBL4777563";"";"";"Unknown";"";"207.26";"2";"2";"-1.44";"109.14";"4";"4";"0";"1";"N";"0.31";"8.82";"11.63";"-1.78";"-3.19";"0";"MOL";"-1";"13";"7";"4";"0";"207.0790";"-0.36";"BASE";"C5H13N5O2S";"CN(C)C(=N)NC(=N)NS(C)(=O)=O";"DGCMGKJBPLBVTI-UHFFFAOYSA-N"
"CHEMBL4785536";"";"";"Unknown";"";"225.17";"2";"2";"-0.31";"92.07";"3";"4";"0";"0";"N";"0.34";"5.19";"12.43";"-0.11";"-0.12";"0";"MOL";"-1";"15";"6";"4";"0";"225.0837";"-0.39";"ZWITTERION";"C6H10F3N5O";"CN(C)C(=N)NC(=N)NC(=O)C(F)(F)F";"QBZHKTNTQWEXPX-UHFFFAOYSA-N"
"CHEMBL1703";"METFORMIN HYDROCHLORIDE";"APOPHAGE|BENOFOMIN|BOLAMYN SR|DIABEFAGOS|DIABEX|DIAGEMET XL|EX-404|EX404|Fortamet|GLUCAMET 500|GLUCAMET 850|GLUCAMINOL|GLUCIENT SR|GLUCOPHAGE SR|GLUCOPHAGE XR|GLYFORMIN|Glucophage|Glumetza|Janumet|LA-6023|LEDERMETIN|METABET SR|METFORMIN HCL|METFORMIN HYDROCHLORIDE|METSOL|MILFORM|NEODIPA|NSC-91485|ORABET|RIOMET ER|Riomet|SIAMFORMET|SUKKARTO SR|WALAPHAGE";"Small molecule";"4.0";"165.63";"32";"97";"-1.03";"88.99";"2";"4";"0";"0";"N";"0.25";"None";"12.33";"-0.92";"-5.62";"0";"MOL";"0";"9";"5";"5";"0";"129.1014";"0.07";"BASE";"C4H12ClN5";"CN(C)C(=N)NC(=N)N.Cl";"OETHQSJEHLVLGH-UHFFFAOYSA-N"
"CHEMBL1431";"METFORMIN";"LA-6023|METFORMIN|METFORMIN EXTENDED RELEASE|Metformin";"Small molecule";"4.0";"129.17";"732";"2821";"-1.03";"88.99";"2";"4";"0";"0";"N";"0.25";"None";"12.33";"-0.92";"-5.62";"0";"MOL";"0";"9";"5";"5";"0";"129.1014";"0.07";"BASE";"C4H11N5";"CN(C)C(=N)NC(=N)N";"XZWYZXLIPXDOLR-UHFFFAOYSA-N"
"CHEMBL2348410";"METFORMIN GABAPENTIN SALT";"Metformin Gabapentin Salt";"Small molecule";"";"300.41";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"300.2274";"None";"None";"C13H28N6O2";"CN(C)C(=N)NC(=N)N.NCC1(CC(=O)O)CCCCC1";"RHTXIWVDGFZSJI-UHFFFAOYSA-N"
"CHEMBL4781399";"";"";"Unknown";"";"219.29";"2";"2";"0.80";"75.00";"2";"4";"0";"2";"N";"0.44";"None";"12.10";"1.08";"-3.58";"1";"MOL";"-1";"16";"5";"4";"0";"219.1484";"-0.35";"BASE";"C11H17N5";"CN(C)C(=N)NC(=N)NCc1ccccc1";"STOXOLFRDHDGSD-UHFFFAOYSA-N"
"CHEMBL4781314";"";"";"Unknown";"";"283.36";"2";"2";"0.29";"109.14";"4";"4";"0";"2";"N";"0.46";"10.07";"9.21";"0.84";"-0.62";"1";"MOL";"-1";"19";"7";"4";"0";"283.1103";"-0.78";"BASE";"C11H17N5O2S";"Cc1ccc(S(=O)(=O)NC(=N)NC(=N)N(C)C)cc1";"NKOQNCSSEHOWFU-UHFFFAOYSA-N"
"CHEMBL4797541";"";"";"Unknown";"";"260.35";"2";"2";"1.19";"78.57";"3";"3";"0";"2";"N";"0.55";"None";"11.07";"1.46";"-0.95";"1";"MOL";"-1";"19";"6";"3";"0";"260.1749";"-0.65";"BASE";"C13H20N6";"CN(C)C(=N)NC(=N)/N=C/c1ccc(N(C)C)cc1";"GYZLFZJIRYQGGZ-CXUHLZMHSA-N"
"CHEMBL4795017";"";"";"Unknown";"";"275.38";"2";"2";"0.26";"109.14";"4";"4";"0";"2";"N";"0.43";"8.58";"11.46";"0.33";"-0.90";"0";"MOL";"-1";"18";"7";"4";"0";"275.1416";"-0.47";"BASE";"C10H21N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)C1CCCCC1";"HTMUGZSGUCEYFM-UHFFFAOYSA-N"
"CHEMBL4794763";"";"";"Unknown";"";"243.24";"2";"2";"-0.85";"109.14";"4";"4";"0";"2";"N";"0.37";"2.28";"11.18";"-0.23";"-1.80";"0";"MOL";"-1";"15";"7";"4";"0";"243.0602";"-0.64";"ZWITTERION";"C5H11F2N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)C(F)F";"AYHXDJDGAJKPBV-UHFFFAOYSA-N"
"CHEMBL2348413";"METFORMIN PREGABALIN SALT";"Metformin Pregabalin Salt";"Small molecule";"";"288.40";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"288.2274";"None";"None";"C12H28N6O2";"CC(C)C[C@H](CN)CC(=O)O.CN(C)C(=N)NC(=N)N";"LJNNTLYPVBRDMA-FJXQXJEOSA-N"
"CHEMBL494397";"METFORMIN XR";"METFORMIN XR";"Small molecule";"3.0";"165.63";"1";"2";"-1.24";"91.49";"2";"3";"0";"0";"N";"0.28";"None";"12.07";"-0.97";"-5.61";"0";"MOL";"0";"9";"5";"5";"0";"129.1014";"0.20";"BASE";"C4H12ClN5";"C/N=C(\N)N(C)C(=N)N.Cl";"GWWIHNWMWIJWRT-UHFFFAOYSA-N"
"CHEMBL4791868";"";"";"Unknown";"";"171.20";"2";"2";"-0.86";"92.07";"3";"4";"0";"0";"N";"0.28";"9.57";"13.01";"-1.26";"-3.33";"0";"MOL";"-1";"12";"6";"4";"0";"171.1120";"-0.06";"BASE";"C6H13N5O";"CC(=O)NC(=N)NC(=N)N(C)C";"SBPPADDBABWWIO-UHFFFAOYSA-N"
"CHEMBL4793758";"";"";"Unknown";"";"275.26";"2";"2";"-0.51";"109.14";"4";"4";"0";"2";"N";"0.40";"0.68";"11.10";"-1.25";"-2.31";"0";"MOL";"-1";"17";"7";"4";"0";"275.0664";"-0.77";"ZWITTERION";"C6H12F3N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)CC(F)(F)F";"MZMLJMRCPZHKMI-UHFFFAOYSA-N"
"CHEMBL4800139";"";"";"Unknown";"";"221.29";"2";"2";"-1.05";"109.14";"4";"4";"0";"2";"N";"0.35";"9.07";"11.61";"-1.28";"-2.89";"0";"MOL";"-1";"14";"7";"4";"0";"221.0946";"-0.72";"BASE";"C6H15N5O2S";"CCS(=O)(=O)NC(=N)NC(=N)N(C)C";"VHFKQRLNWSUVLI-UHFFFAOYSA-N"
"CHEMBL4799072";"";"";"Unknown";"";"289.28";"2";"2";"-0.12";"109.14";"4";"4";"0";"3";"N";"0.43";"6.17";"11.24";"0.01";"-0.33";"0";"MOL";"-1";"18";"7";"4";"0";"289.0820";"-0.68";"ZWITTERION";"C7H14F3N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)CCC(F)(F)F";"CVXYLOUYEYPNKG-UHFFFAOYSA-N"
"CHEMBL4784809";"";"";"Unknown";"";"261.23";"4";"80";"-0.55";"109.14";"4";"4";"0";"1";"N";"0.37";"0.22";"11.25";"0.30";"-1.16";"0";"MOL";"-1";"16";"7";"4";"0";"261.0507";"-0.42";"ZWITTERION";"C5H10F3N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)C(F)(F)F";"XVKDUUUORAWPHU-UHFFFAOYSA-N"
"CHEMBL4797091";"";"";"Unknown";"";"239.32";"2";"2";"0.70";"92.07";"3";"4";"0";"1";"N";"0.40";"11.45";"10.76";"0.77";"-1.50";"0";"MOL";"-1";"17";"6";"4";"0";"239.1746";"-0.42";"BASE";"C11H21N5O";"CN(C)C(=N)NC(=N)NC(=O)C1CCCCC1";"PUQRGLDGGMNXKS-UHFFFAOYSA-N"
"CHEMBL4800394";"";"";"Unknown";"";"310.59";"2";"2";"0.25";"109.14";"4";"4";"0";"1";"N";"0.32";"2.07";"11.09";"0.92";"-0.43";"0";"MOL";"-1";"16";"7";"4";"0";"308.9621";"-0.21";"ZWITTERION";"C5H10Cl3N5O2S";"CN(C)C(=N)NC(=N)NS(=O)(=O)C(Cl)(Cl)Cl";"VWXAZCWKZMWSRN-UHFFFAOYSA-N"
"CHEMBL2348412";"";"Metformin Gamma-Amino Butyric Acid Salt";"Small molecule";"";"232.29";"2";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"232.1648";"None";"None";"C8H20N6O2";"CN(C)C(=N)NC(=N)N.NCCCC(=O)O";"UNRRVZIJLJMJCE-UHFFFAOYSA-N"
